"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","Gibbs","DBE_AI","DBE_C","KM","KMD","C","H","O","N","S","P"
361.2237446,"C19H38O2S2","CHOS","Lipid",2,0.11,-0.125,-1.5789,105.29865,-3,-0.157894736842105,360.820398939757,-0.820398939756615,19,38,2,0,2,0
361.2247464,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.821399621138,-0.8213996211378,0,0,0,0,0,0
361.2569544,"C23H38O1S1","CHOS","Lipid",1.65,0.04,0.1628,-1.4783,102.43155,3,0.130434782608696,360.853571657397,-0.853571657397254,23,38,1,0,1,0
361.5691604,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.165429045389,-0.165429045388521,0,0,0,0,0,0
361.7220964,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.318194275685,-0.318194275684675,0,0,0,0,0,0
361.9655776,"C15H8O7S1P1","CHOSP","ConHC",0.53,0.47,0.7368,0.2,54.6,3.5,0.233333333333333,361.561403602402,-0.561403602401583,15,8,7,0,1,1
361.9822541,"C11H9O11N1S1","CHONS","Tannin",0.82,1,0.1429,1.6364,13.6626,-5,-0.454545454545455,361.578061481273,-0.578061481272698,11,9,11,1,1,0
362.0686263,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.664337237303,-0.664337237302561,0,0,0,0,0,0
362.0720872,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.667794272831,-0.66779427283069,0,0,0,0,0,0
362.1302724,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.725914502717,-0.725914502716591,0,0,0,0,0,0
362.1307555,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.726397063283,-0.726397063282832,0,0,0,0,0,0
362.131135,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.72677613953,-0.726776139529704,0,0,0,0,0,0
362.137281,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.732915276851,-0.732915276851202,0,0,0,0,0,0
362.1462798,"C16H29O4N1S2","CHONS","Lipid",1.81,0.25,-0.1818,-0.875,85.2375,-4,-0.25,361.741904028711,-0.741904028710735,16,29,4,1,2,0
362.1521848,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.747802435135,-0.747802435134986,0,0,0,0,0,0
362.1529519,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.748568678584,-0.748568678584263,0,0,0,0,0,0
362.1720475,"C18H25O5N3","CHON","Lignin",1.39,0.28,0.2,-0.3333,69.79905,0,0,361.767642956267,-0.767642956266741,18,25,5,3,0,0
362.172834,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.768428578054,-0.768428578053829,0,0,0,0,0,0
362.1737939,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.769387406221,-0.769387406220915,0,0,0,0,0,0
362.1876264,"C22H25O2N3","CHON","UnsatHC",1.14,0.09,0.4444,-0.5455,75.84675,7,0.318181818181818,361.783204460728,-0.783204460727802,22,25,2,3,0,0
362.1891858,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.784762119488,-0.78476211948788,0,0,0,0,0,0
362.220998,"","","None",NA,NA,Inf,NA,NA,NA,NA,361.816538797701,-0.816538797701128,0,0,0,0,0,0
362.5695952,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.164746750953,-0.164746750953384,0,0,0,0,0,0
362.633138,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.228218598495,-0.228218598495232,0,0,0,0,0,0
362.7046165,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.299617284964,-0.299617284963574,0,0,0,0,0,0
362.7916562,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.386559795657,-0.386559795656979,0,0,0,0,0,0
362.7926635,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.387565970897,-0.387565970896787,0,0,0,0,0,0
362.8551532,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.44998589434,-0.449985894339534,0,0,0,0,0,0
362.8557416,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.450573637327,-0.450573637326841,0,0,0,0,0,0
362.8929272,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.487717715554,-0.487717715553629,0,0,0,0,0,0
362.9408569,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.535593896822,-0.535593896822434,0,0,0,0,0,0
362.9414137,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.536150075095,-0.536150075094611,0,0,0,0,0,0
362.942042,"C13H3O10N1P1","CHONP","ConHC",0.23,0.77,1.0833,1.1538,27.4167,1.5,0.115384615384615,362.536777673529,-0.53677767352923,13,3,10,1,0,1
362.9427471,"C18H4O5S2","CHOS","ConHC",0.22,0.28,0.9259,0.5556,44.4654,10,0.555555555555556,362.537481986208,-0.537481986208263,18,4,5,0,2,0
362.950624,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.545350090791,-0.545350090791374,0,0,0,0,0,0
362.9539338,"C17H4O4N2S2","CHONS","ConHC",0.24,0.24,1,0.8235,36.83025,9,0.529411764705882,362.548656195039,-0.548656195039086,17,4,4,2,2,0
362.9546359,"C13H7O4N3S2P1","CHONSP","ConHC",0.54,0.31,0.9,0.6923,40.56945,2.5,0.192307692307692,362.549357511068,-0.549357511067967,13,7,4,3,2,1
362.9553701,"","","None",NA,NA,Inf,NA,NA,NA,NA,362.550090891254,-0.55009089125366,0,0,0,0,0,0
