"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
20,"non-amended","50% WFPS",27,2016-09-10 09:28:00,2016-09-10,"t2",1,7478,NA,0.105362271202706
20,"non-amended","50% WFPS",28,2016-09-10 09:31:00,2016-09-10,"t2",1,6702,NA,0.0939908707769982
20,"illite-amended","100% WFPS",21,2016-09-10 09:34:00,2016-09-10,"t2",1,1224,NA,0.017086518906569
20,"illite-amended","100% WFPS",22,2016-09-10 09:36:00,2016-09-10,"t2",1,964,NA,0.0134157503644595
20,"illite-amended","100% WFPS",23,2016-09-10 09:37:00,2016-09-10,"t2",1,942,NA,0.0130895058584465
20,"illite-amended","100% WFPS",24,2016-09-10 09:39:00,2016-09-10,"t2",1,1020,NA,0.0141300728871118
20,"illite-amended","50% WFPS",17,2016-09-10 09:40:00,2016-09-10,"t2",1,5450,NA,0.0753838290422754
20,"illite-amended","50% WFPS",18,2016-09-10 09:43:00,2016-09-10,"t2",1,4206,NA,0.0579121094035688
20,"illite-amended","50% WFPS",19,2016-09-10 09:46:00,2016-09-10,"t2",1,5686,NA,0.0779353331491871
20,"illite-amended","50% WFPS",20,2016-09-10 09:47:00,2016-09-10,"t2",1,6334,NA,0.0866862190457262
4,"non-amended","100% WFPS",16,2016-09-10 09:53:00,2016-09-10,"t2",1,1144,NA,0.0164124451720993
4,"non-amended","100% WFPS",13,2016-09-10 09:54:00,2016-09-10,"t2",1,904,NA,0.0129499177296231
4,"non-amended","100% WFPS",14,2016-09-10 09:55:00,2016-09-10,"t2",1,1240,NA,0.0177366888176591
4,"non-amended","100% WFPS",15,2016-09-10 09:57:00,2016-09-10,"t2",1,1169,NA,0.0166714290512905
4,"illite-amended","50% WFPS",1,2016-09-10 10:03:00,2016-09-10,"t2",1,848,NA,0.0119866951289355
4,"illite-amended","50% WFPS",2,2016-09-10 10:04:00,2016-09-10,"t2",1,916,NA,0.0129288513616351
4,"illite-amended","50% WFPS",3,2016-09-10 10:08:00,2016-09-10,"t2",1,908,NA,0.0127409886372353
4,"illite-amended","50% WFPS",4,2016-09-10 10:09:00,2016-09-10,"t2",1,1093,NA,0.0153145052848335
4,"non-amended","50% WFPS",9,2016-09-10 10:12:00,2016-09-10,"t2",1,1216,NA,0.0169636193350589
4,"non-amended","50% WFPS",11,2016-09-10 10:13:00,2016-09-10,"t2",1,1113,NA,0.0155041986432775
4,"non-amended","50% WFPS",10,2016-09-10 10:16:00,2016-09-10,"t2",1,1482,NA,0.0205549057983337
4,"non-amended","50% WFPS",12,2016-09-10 10:18:00,2016-09-10,"t2",1,1346,NA,0.0186148255701983
4,"illite-amended","100% WFPS",6,2016-09-10 10:20:00,2016-09-10,"t2",1,554,NA,0.00763965781533147
4,"illite-amended","100% WFPS",5,2016-09-10 10:22:00,2016-09-10,"t2",1,420,NA,0.00577520293302602
4,"illite-amended","100% WFPS",7,2016-09-10 10:23:00,2016-09-10,"t2",1,424,NA,0.00582186408622834
4,"illite-amended","100% WFPS",8,2016-09-10 10:26:00,2016-09-10,"t2",1,601,NA,0.00821695183828025
4,"illite-amended","50% WFPS",3,2016-09-11 09:51:00,2016-09-11,"t3",2,2390,NA,0.0163731841829521
4,"illite-amended","50% WFPS",1,2016-09-11 09:54:00,2016-09-11,"t3",2,2424,NA,0.0165706250049845
4,"illite-amended","50% WFPS",2,2016-09-11 09:56:00,2016-09-11,"t3",2,1810,NA,0.0123556795392644
4,"illite-amended","50% WFPS",4,2016-09-11 09:58:00,2016-09-11,"t3",2,1271,NA,0.00866395678378229
4,"illite-amended","100% WFPS",5,2016-09-11 10:01:00,2016-09-11,"t3",2,846,NA,0.00575462106168426
4,"illite-amended","100% WFPS",6,2016-09-11 10:03:00,2016-09-11,"t3",2,1195,NA,0.00811706689324694
4,"illite-amended","100% WFPS",7,2016-09-11 10:06:00,2016-09-11,"t3",2,975,NA,0.00660868031354395
4,"non-amended","50% WFPS",9,2016-09-11 10:07:00,2016-09-11,"t3",2,2622,NA,0.0177597242650388
4,"illite-amended","100% WFPS",8,2016-09-11 10:10:00,2016-09-11,"t3",2,939,NA,0.00634673886111633
4,"non-amended","50% WFPS",10,2016-09-11 10:12:00,2016-09-11,"t3",2,2757,NA,0.0186084650583923
4,"non-amended","50% WFPS",11,2016-09-11 10:14:00,2016-09-11,"t3",2,2048,NA,0.0138036311088356
4,"non-amended","50% WFPS",12,2016-09-11 10:15:00,2016-09-11,"t3",2,2453,NA,0.0165217507280026
4,"non-amended","100% WFPS",13,2016-09-11 10:16:00,2016-09-11,"t3",2,1682,NA,0.0113208711525381
4,"non-amended","100% WFPS",14,2016-09-11 10:18:00,2016-09-11,"t3",2,1591,NA,0.0106933887067797
4,"non-amended","100% WFPS",15,2016-09-11 10:20:00,2016-09-11,"t3",2,2107,NA,0.0141417084594744
4,"non-amended","100% WFPS",16,2016-09-11 10:21:00,2016-09-11,"t3",2,2029,NA,0.0136086735088261
20,"illite-amended","50% WFPS",17,2016-09-11 10:27:00,2016-09-11,"t3",2,9845,NA,0.0621647916825073
20,"illite-amended","50% WFPS",19,2016-09-11 10:30:00,2016-09-11,"t3",2,1322,NA,0.00833018206268993
20,"illite-amended","50% WFPS",20,2016-09-11 10:31:00,2016-09-11,"t3",2,10750,NA,0.0676908571909322
20,"illite-amended","100% WFPS",24,2016-09-11 10:32:00,2016-09-11,"t3",2,1872,NA,0.0117794798695038
20,"illite-amended","100% WFPS",23,2016-09-11 10:35:00,2016-09-11,"t3",2,1465,NA,0.00919931114095278
20,"illite-amended","100% WFPS",22,2016-09-11 10:39:00,2016-09-11,"t3",2,1664,NA,0.0104200659285788
20,"illite-amended","100% WFPS",21,2016-09-11 10:41:00,2016-09-11,"t3",2,1258,NA,0.00786681177163231
20,"non-amended","50% WFPS",25,2016-09-11 10:43:00,2016-09-11,"t3",2,11912,NA,0.0743882943278178
