"formula","HC","OC"
"C8H8O7N2S1",1,0.88
"C13H8O7",0.62,0.54
"C14H12O4S1",0.86,0.29
"C10H12O9",1.2,0.9
"C14H12O6",0.86,0.43
"C11H16O8",1.45,0.73
"C15H16O5",1.07,0.33
"C12H20O7",1.67,0.58
"C13H24O6",1.85,0.46
"C17H24O3",1.41,0.18
"C14H28O3S1",2,0.21
"C11H7O2N3S2",0.64,0.18
"C7H7O7N3S1",1,1
"C7H7O7N3S1",1,1
"C8H11O8N3",1.38,1
"C13H15O4N3",1.15,0.31
"C11H19O7N1",1.73,0.64
"C7H6O2N2S4",0.86,0.29
"C12H6O8",0.5,0.67
"C13H10O7",0.77,0.54
"C13H10O7",0.77,0.54
"C10H14O9",1.4,0.9
"C11H18O4S2",1.64,0.36
"C14H14O6",1,0.43
"C15H18O1S2",1.2,0.07
"C11H18O8",1.64,0.73
"C15H18O5",1.2,0.33
"C11H21O5N1P1",1.91,0.45
"C12H22O7",1.83,0.58
"C16H22O4",1.38,0.25
"C7H5O3N1S4",0.71,0.43
"C10H5O5N3S1",0.5,0.5
"C14H4O3N2P1",0.29,0.21
"C16H9O2N1S1",0.56,0.12
"C13H13O4N1S1",1,0.31
"C10H16O7P1",1.6,0.7
"C12H24O3S1P1",2,0.25
"C11H21O7N1",1.91,0.64
"C12H8O8",0.67,0.67
"C9H15O3N1S2P1",1.67,0.33
"C7H11O7N3P1",1.57,1
"C16H8O5",0.5,0.31
"C13H12O5S1",0.92,0.38
"C12H12O4N2S1",1,0.33
"C13H12O7",0.92,0.54
"C10H16O9",1.6,0.9
"C14H16O6",1.14,0.43
"C15H20O3S1",1.33,0.2
"C15H20O5",1.33,0.33
"C12H24O5S1",2,0.42
"C14H20O4N2",1.43,0.29
"C16H24O4",1.5,0.25
"C11H27O3N3P1",2.45,0.27
"C14H7O2N3S1",0.5,0.14
"C20H11O1N1",0.55,0.05
"C10H19O8N1",1.9,0.8
"C7H6O8S2",0.86,1.14
"C7H10O6N2S2",1.43,0.86
"C11H6O9",0.55,0.82
"C12H10O8",0.83,0.67
"C9H17O3N1S2P1",1.89,0.33
"C9H14O8S1",1.56,0.89
"C13H14O5S1",1.08,0.38
"C13H14O7",1.08,0.54
"C10H18O7S1",1.8,0.7
"C14H18O4S1",1.29,0.29
"C14H18O6",1.29,0.43
"C13H18O5N2",1.38,0.38
"C10H22O5N2S1",2.2,0.5
"C15H22O3S1",1.47,0.2
"C15H22O5",1.47,0.33
"C16H26O4",1.62,0.25
"C18H34O2",1.89,0.11
"C10H4O4S2P1",0.4,0.4
"C10H9O1N3S3",0.9,0.1
"C14H9O2N3S1",0.64,0.14
"C20H13O1N1",0.65,0.05
"C13H17O6N1",1.31,0.46
"C13H21O4N3",1.62,0.31
"C7H8O6S3",1.14,0.86
"C7H8O6S3",1.14,0.86
"C11H8O9",0.73,0.82
"C8H15O4N1S2P1",1.88,0.5
"C12H12O8",1,0.67
"C9H19O3N1S2P1",2.11,0.33
"C12H16O2N2S2",1.33,0.17
"C13H16O5S1",1.23,0.38
"C13H16O7",1.23,0.54
"C13H20O1N2S2",1.54,0.08
"C14H20O4S1",1.43,0.29
"C14H20O6",1.43,0.43
"C15H24O3S1",1.6,0.2
"C15H24O5",1.6,0.33
"C16H28O4",1.75,0.25
"C18H36O2",2,0.11
"C9H2O9P1",0.22,1
"C11H11O6N1S1",1,0.55
"C12H15O1N1S3",1.25,0.08
"C16H14O3P1",0.88,0.19
"C12H18O4N2P1",1.5,0.33
"C12H19O3N3S1",1.58,0.25
"C5H6O6N2S3",1.2,1.2
"C11H10O9",0.91,0.82
"C8H17O4N1S2P1",2.12,0.5
"C15H10O6",0.67,0.4
"C12H14O6S1",1.17,0.5
"C12H14O8",1.17,0.67
"C9H21O3N1S2P1",2.33,0.33
"C13H18O5S1",1.38,0.38
"C13H18O7",1.38,0.54
"C17H18O4",1.06,0.24
"C14H22O4S1",1.57,0.29
"C14H22O6",1.57,0.43
"C15H26O5",1.73,0.33
"C16H30O4",1.88,0.25
"C8H4O8N2P1",0.5,1
"C8H4O8N2P1",0.5,1
"C10H9O9N1",0.9,0.9
"C8H16O7S1P1",2,0.88
"C19H13O2N1",0.68,0.11
"C13H21O6N1",1.62,0.46
"C15H29O4N1",1.93,0.27
"C8H3O5N1S2P1",0.38,0.62
"C9H6O7P2",0.67,0.78
"C14H8O7",0.57,0.5
"C15H12O4S1",0.8,0.27
"C11H12O9",1.09,0.82
"C8H19O4N1S2P1",2.38,0.5
"C19H12O1S1",0.63,0.05
"C15H12O6",0.8,0.4
"C15H12O6",0.8,0.4
"C12H16O6S1",1.33,0.5
"C16H16O3S1",1,0.19
"C12H16O8",1.33,0.67
"C13H20O7",1.54,0.54
"C14H24O6",1.71,0.43
"C15H28O5",1.87,0.33
"C16H32O4",2,0.25
"C11H15O4N1S2",1.36,0.36
"C13H23O6N1",1.77,0.46
"C14H27O5N1",1.93,0.36
"C8H2O2S5",0.25,0.25
"C9H6O3S4",0.67,0.33
"C9H6O7S2",0.67,0.78
"C14H10O7",0.71,0.5
"C15H14O4S1",0.93,0.27
"C11H14O9",1.27,0.82
"C15H14O6",0.93,0.4
"C16H18O3S1",1.12,0.19
"C12H18O8",1.5,0.67
"C16H18O5",1.12,0.31
"C13H22O7",1.69,0.54
"C14H26O6",1.86,0.43
"C15H30O5",2,0.33
"C6H12O7S2P1",2,1.17
"C11H5O3N3S2",0.45,0.27
"C14H13O4N1S1",0.93,0.29
"C12H21O7N1",1.75,0.58
"C7H4O3N2S4",0.57,0.43
"C6H12O5S4",2,0.83
"C10H3O4N3S1P1",0.3,0.4
"C13H8O8",0.62,0.62
"C10H15O3N1S2P1",1.5,0.3
"C14H12O5S1",0.86,0.36
"C14H12O7",0.86,0.5
"C11H16O9",1.45,0.82
"C15H16O6",1.07,0.4
"C16H20O3S1",1.25,0.19
"C12H20O8",1.67,0.67
"C12H20O8",1.67,0.67
"C16H20O5",1.25,0.31
"C17H24O4",1.41,0.24
"C10H3O6N3S1",0.3,0.6
"C8H11O9N3",1.38,1.12
"C14H15O4N1S1",1.07,0.29
"C10H18O4N2S1P1",1.8,0.4
"C15H19O1N1S2",1.27,0.07
"C11H19O8N1",1.73,0.73
"C12H23O7N1",1.92,0.58
"C12H6O5S2",0.5,0.42
"C12H6O9",0.5,0.75
"C14H14O1S3",1,0.07
"C13H10O8",0.77,0.62
"C10H17O3N1S2P1",1.7,0.3
"C14H14O5S1",1,0.36
"C14H14O7",1,0.5
"C15H18O2S2",1.2,0.13
"C10H18O6N2S1",1.8,0.6
"C15H18O6",1.2,0.4
"C16H22O3S1",1.38,0.19
"C16H22O5",1.38,0.31
"C13H26O5S1",2,0.38
"C17H26O4",1.53,0.24
"C15H5O6N1",0.33,0.4
"C13H13O5N1S1",1,0.38
"C13H13O7N1",1,0.54
"C11H20O5S1P1",1.82,0.45
"C15H21O5N1",1.4,0.33
"C12H8O9",0.67,0.75
"C9H15O4N1S2P1",1.67,0.44
"C13H12O8",0.92,0.62
"C10H19O3N1S2P1",1.9,0.3
"C10H18O6P2",1.8,0.6
"C16H12O2N2S1",0.75,0.12
"C12H12O7N2",1,0.58
"C8H15O7N3P1",1.88,0.88
"C14H16O5S1",1.14,0.36
"C14H16O7",1.14,0.5
"C15H20O4S1",1.33,0.27
"C15H20O6",1.33,0.4
"C12H24O6S1",2,0.5
"C16H24O3S1",1.5,0.19
"C12H24O8",2,0.67
"C16H24O5",1.5,0.31
"C10H2O5S2P1",0.2,0.5
"C11H6O8P1",0.55,0.73
"C11H7O7N1S1",0.64,0.64
"C15H11O2N3S1",0.73,0.13
"C8H15O7N3S1",1.88,0.88
"C16H11O5N1",0.69,0.31
"C13H15O5N1S1",1.15,0.38
"C20H11O2N1",0.55,0.1
"C21H15O1N1",0.71,0.05
"C12H10O9",0.83,0.75
"C9H17O4N1S2P1",1.89,0.44
"C13H14O6S1",1.08,0.46
"C10H18O6S2",1.8,0.6
"C13H14O8",1.08,0.62
"C19H10O2N2",0.53,0.11
"C14H18O5S1",1.29,0.36
"C10H18O10",1.8,1
"C14H18O7",1.29,0.5
"C10H21O7N1P1",2.1,0.7
"C14H22O1N2S2",1.57,0.07
"C15H22O4S1",1.47,0.27
"C15H22O6",1.47,0.4
"C16H26O3S1",1.62,0.19
"C16H26O5",1.62,0.31
"C17H30O4",1.76,0.24
"C18H34O3",1.89,0.17
"C14H9O3N3S1",0.64,0.21
"C22H5O1N1",0.23,0.05
"C16H13O5N1",0.81,0.31
