"formula","HC","OC"
"C13H4O12N2S2P1",0.31,0.92
"C19H9O2N1S6",0.47,0.11
"C23H9O1N1S5",0.39,0.04
"C16H12O11S2P1",0.75,0.69
"C17H5O12N3S1",0.29,0.71
"C23H8O8S1P1",0.35,0.35
"C22H5O12N1",0.23,0.55
"C23H9O7N1S2",0.39,0.3
"C27H8O5S1P1",0.3,0.19
"C19H9O12N1S1",0.47,0.63
"C27H8O7P1",0.3,0.26
"C27H8O7P1",0.3,0.26
"C32H17O2N3",0.53,0.06
"C20H33O6N3S2",1.65,0.3
"C19H40O9S1P1",2.11,0.47
"C22H37O10N1",1.68,0.45
"C33H33O2N1",1,0.06
"C21H37O9N3",1.76,0.43
"C22H41O4N3S2",1.86,0.18
"C30H37O2N1S1",1.23,0.07
"C21H6O6N2S1P2",0.29,0.29
"C21H6O6N2S1P2",0.29,0.29
"C17H4O13N2S1",0.24,0.76
"C27H8O3S3",0.3,0.11
"C26H6O6P2",0.23,0.23
"C26H8O2N2S3",0.31,0.08
"C24H14O7P2",0.58,0.29
"C32H12O3S1",0.38,0.09
"C28H15O3N1S1P1",0.54,0.11
"C21H16O13",0.76,0.62
"C17H19O13N1P1",1.12,0.76
"C22H22O6S1P2",1,0.27
"C31H12O2N2S1",0.39,0.06
"C27H24O2S3",0.89,0.07
"C35H12O1N2",0.34,0.03
"C19H27O7N1S2P1",1.42,0.37
"C32H16O1N2S1",0.5,0.03
"C26H20O9",0.77,0.35
"C20H30O7S1P2",1.5,0.35
"C31H24O1S2",0.77,0.03
"C31H24O1S2",0.77,0.03
"C18H24O13N2",1.33,0.72
"C27H24O6S1",0.89,0.22
"C27H24O6S1",0.89,0.22
"C28H28O1S3",1,0.04
"C15H28O13N2S1",1.87,0.87
"C23H24O11",1.04,0.48
"C24H28O6S2",1.17,0.25
"C25H32O1S4",1.28,0.04
"C27H24O8",0.89,0.3
"C28H28O3S2",1,0.11
"C33H20O2N2",0.61,0.06
"C20H28O13",1.4,0.65
"C16H32O12N2S1",2,0.75
"C24H28O10",1.17,0.42
"C20H32O9N2S1",1.6,0.45
"C26H36O2S3",1.38,0.08
"C34H24O1N2",0.71,0.03
"C21H32O12",1.52,0.57
"C17H36O11N2S1",2.12,0.65
"C25H32O9",1.28,0.36
"C22H39O4N1S2P1",1.77,0.18
"C21H36O8N2S1",1.71,0.38
"C22H39O6N1S1P1",1.77,0.27
"C22H36O11",1.64,0.5
"C27H40O3S2",1.48,0.11
"C22H40O7N2S1",1.82,0.32
"C13H5O11N1S2P2",0.38,0.85
"C12H5O10N3S2P2",0.42,0.83
"C10H11O7N3S6",1.1,0.7
"C18H7O5N1S5",0.39,0.28
"C13H5O13N1S1P2",0.38,1
"C12H15O7N1S6",1.25,0.58
"C13H19O6N1S6",1.46,0.46
"C13H19O6N1S6",1.46,0.46
"C25H6O3N2S2P1",0.24,0.12
"C27H27O3N1S2",1,0.11
"C14H27O15N3",1.93,1.07
"C23H27O8N1S1",1.17,0.35
"C27H26O6P1",0.96,0.22
"C19H27O13N1",1.42,0.68
"C15H31O12N3S1",2.07,0.8
"C17H35O12N1S1",2.06,0.71
"C31H27O4N1",0.87,0.13
"C16H35O11N3S1",2.19,0.69
"C23H31O8N3",1.35,0.35
"C32H31O1N1S1",0.97,0.03
"C28H34O3N2P1",1.21,0.11
"C12H14O6S7",1.17,0.5
"C12H14O6S7",1.17,0.5
"C11H10O13S4",0.91,1.18
"C12H14O8S6",1.17,0.67
"C18H8O8S2P2",0.44,0.44
"C14H6O15S2",0.43,1.07
"C14H8O13S1P2",0.57,0.93
"C16H14O5S6",0.88,0.31
"C26H6O2S4",0.23,0.08
"C30H6O1S3",0.2,0.03
"C26H9O5N1S1P1",0.35,0.19
"C18H10O12N2S1",0.56,0.67
"C17H22O4N2S5",1.29,0.24
"C20H14O14",0.7,0.7
"C21H20O7S1P2",0.95,0.33
"C29H18O1S3",0.62,0.03
"C16H18O13N2S1",1.12,0.81
"C25H18O6S2",0.72,0.24
"C18H24O9S1P2",1.33,0.5
"C21H18O13",0.86,0.62
"C18H25O8N1S2P1",1.39,0.44
"C22H24O6S1P2",1.09,0.27
"C18H22O13S1",1.22,0.72
"C22H25O5N1S2P1",1.14,0.23
"C35H14O1N2",0.4,0.03
"C22H22O12",1,0.55
"C18H25O12N1P1",1.39,0.67
"C24H30O2S4",1.25,0.08
"C26H22O9",0.85,0.35
"C27H26O4S2",0.96,0.15
"C19H26O14",1.37,0.74
"C28H30O1S3",1.07,0.04
"C19H30O10N2S1",1.58,0.53
"C27H26O8",0.96,0.3
"C28H30O3S2",1.07,0.11
"C15H30O15N2",2,1
"C15H30O15N2",2,1
"C33H22O2N2",0.67,0.06
"C20H30O13",1.5,0.65
"C28H30O5S1",1.07,0.18
"C16H34O12N2S1",2.12,0.75
"C24H30O10",1.25,0.42
"C25H34O7S1",1.36,0.28
"C34H26O1N2",0.76,0.03
"C21H34O12",1.62,0.57
"C21H34O12",1.62,0.57
"C29H34O4S1",1.17,0.14
"C25H34O9",1.36,0.36
"C25H34O9",1.36,0.36
"C22H41O4N1S2P1",1.86,0.18
"C22H38O9S1",1.73,0.41
"C26H38O6S1",1.46,0.23
"C27H42O1S3",1.56,0.04
"C22H38O11",1.73,0.5
"C23H45O3N1S2P1",1.96,0.13
"C12H4O13N2S2P1",0.33,1.08
"C13H8O12N2S2P1",0.62,0.92
"C25H21O7N1S1",0.84,0.28
"C29H20O5P1",0.69,0.17
"C34H13O1N3",0.38,0.03
"C21H21O12N1",1,0.57
"C18H25O14N1",1.39,0.78
"C14H29O13N3S1",2.07,0.93
"C22H25O11N1",1.14,0.5
"C29H25O4N3",0.86,0.14
"C27H32O4N2P1",1.19,0.15
"C19H33O11N3",1.74,0.58
"C24H37O3N3S2",1.54,0.12
"C32H33O1N1S1",1.03,0.03
"C20H37O8N3S1",1.85,0.4
"C28H33O6N1",1.18,0.21
"C12H4O1N2S9",0.33,0.08
"C16H4O6N2S5",0.25,0.38
"C17H8O1N2S7",0.47,0.06
"C11H12O9S6",1.09,0.82
"C11H12O9S6",1.09,0.82
"C17H6O9S2P2",0.35,0.53
"C11H12O11S5",1.09,1
"C14H8O15S2",0.57,1.07
"C14H10O13S1P2",0.71,0.93
"C16H16O5S6",1,0.31
"C30H8O5S1",0.27,0.17
"C28H16O4S2",0.57,0.14
"C15H16O16N2",1.07,1.07
"C20H16O14",0.8,0.7
"C21H20O9S2",0.95,0.43
"C21H22O7S1P2",1.05,0.33
"C30H12O3N2S1",0.4,0.1
"C29H20O1S3",0.69,0.03
"C16H20O13N2S1",1.25,0.81
"C24H16O11",0.67,0.46
"C25H20O6S2",0.8,0.24
"C28H19O3N1S1P1",0.68,0.11
"C21H20O13",0.95,0.62
"C22H26O6S1P2",1.18,0.27
"C31H16O2N2S1",0.52,0.06
"C18H24O13S1",1.33,0.72
"C31H16O4N2",0.52,0.13
"C19H28O10S2",1.47,0.53
"C19H30O8S1P2",1.58,0.42
"C22H27O7N1S1P1",1.23,0.32
"C22H24O12",1.09,0.55
"C22H24O12",1.09,0.55
"C23H28O7S2",1.22,0.3
"C24H32O2S4",1.33,0.08
"C32H20O1N2S1",0.62,0.03
"C16H32O12S2",2,0.75
"C26H24O9",0.92,0.35
"C27H28O4S2",1.04,0.15
"C32H20O3N2",0.62,0.09
"C19H28O14",1.47,0.74
"C27H28O6S1",1.04,0.22
"C28H32O1S3",1.14,0.04
"C23H28O11",1.22,0.48
"C23H28O11",1.22,0.48
"C20H35O8N1S1P1",1.75,0.4
"C33H24O2N2",0.73,0.06
"C20H32O13",1.6,0.65
"C31H28O5",0.9,0.16
"C28H32O5S1",1.14,0.18
"C24H32O10",1.33,0.42
"C20H35O10N1P1",1.75,0.5
"C30H28O4N2",0.93,0.13
"C25H36O7S1",1.44,0.28
"C34H28O1N2",0.82,0.03
"C21H36O12",1.71,0.57
"C22H40O7S2",1.82,0.32
"C25H36O9",1.44,0.36
"C25H36O9",1.44,0.36
"C22H43O4N1S2P1",1.95,0.18
"C22H40O9S1",1.82,0.41
"C36H32O1",0.89,0.03
"C26H40O6S1",1.54,0.23
"C22H40O11",1.82,0.5
"C22H40O11",1.82,0.5
"C28H48O2S2",1.71,0.07
"C14H10O13S2P1",0.71,0.93
"C15H3O16N3",0.2,1.07
"C16H7O13N3S1",0.44,0.81
"C25H7O6N1S2",0.28,0.24
"C27H15O8N1",0.56,0.3
"C28H19O3N1S2",0.68,0.11
"C15H19O15N3",1.27,1
"C34H15O1N3",0.44,0.03
"C21H23O12N1",1.1,0.57
"C31H19O3N3",0.61,0.1
"C18H27O14N1",1.5,0.78
"C14H31O13N3S1",2.21,0.93
"C27H30O4S1P1",1.11,0.15
"C30H27O3N1S1",0.9,0.1
"C22H31O7N3S1",1.41,0.32
"C30H27O5N1",0.9,0.17
"C18H31O12N3",1.72,0.67
"C21H38O8S1P1",1.81,0.38
"C13H6O4S8",0.46,0.31
"C9H6O9S7",0.67,1
"C17H6O13S2",0.35,0.76
"C17H8O11S1P2",0.47,0.65
"C16H6O12N2S2",0.38,0.75
"C20H20O8S1P2",1,0.4
"C29H10O4N2S1",0.34,0.14
"C16H20O13P2",1.25,0.81
"C25H10O9N2",0.4,0.36
"C19H18O9N2S2",0.95,0.47
"C25H22O2S4",0.88,0.08
"C16H21O14N1P1",1.31,0.88
"C21H24O7S1P2",1.14,0.33
"C30H14O3N2S1",0.47,0.1
"C38H10O1",0.26,0.03
"C20H21O11N1P1",1.05,0.55
"C26H26O1S4",1,0.04
"C32H18O3S1",0.56,0.09
"C21H22O13",1.05,0.62
"C18H29O8N1S2P1",1.61,0.44
"C22H28O6S1P2",1.27,0.27
"C31H18O2N2S1",0.58,0.06
"C31H18O4N2",0.58,0.13
"C18H26O15",1.44,0.83
"C19H30O10S2",1.58,0.53
"C19H32O8S1P2",1.68,0.42
"C29H22O7",0.76,0.24
"C30H26O2S2",0.87,0.07
"C27H30O2S3",1.11,0.07
"C22H26O12",1.18,0.55
"C22H26O12",1.18,0.55
"C32H22O3N2",0.69,0.09
"C23H33O6N1S1P1",1.43,0.26
"C23H30O11",1.3,0.48
"C23H30O11",1.3,0.48
"C24H34O6S2",1.42,0.25
"C25H38O1S4",1.52,0.04
"C29H26O5N2",0.9,0.17
"C33H26O2N2",0.79,0.06
"C20H34O13",1.7,0.65
"C21H38O8S2",1.81,0.38
"C28H34O5S1",1.21,0.18
"C24H34O10",1.42,0.42
"C20H37O10N1P1",1.85,0.5
"C21H38O10S1",1.81,0.48
"C25H38O7S1",1.52,0.28
"C34H30O1N2",0.88,0.03
"C21H38O12",1.81,0.57
"C21H38O12",1.81,0.57
"C22H42O7S2",1.91,0.32
"C25H38O9",1.52,0.36
"C21H41O9N1P1",1.95,0.43
"C31H34O3N2",1.1,0.1
"C22H42O11",1.91,0.5
"C23H49O3N1S2P1",2.13,0.13
"C23H46O10",2,0.43
"C14H12O13S2P1",0.86,0.93
"C25H9O2N1S4",0.36,0.08
"C14H13O14N1S2",0.93,1
"C24H21O6N1S2",0.88,0.25
"C28H20O4S1P1",0.71,0.14
"C12H25O13N3S2",2.08,1.08
"C16H21O16N1",1.31,1
"C17H25O11N1S2",1.47,0.65
"C21H24O9S1P1",1.14,0.43
"C34H13O3N1",0.38,0.09
"C28H24O4N2P1",0.86,0.14
"C26H28O7P1",1.08,0.27
"C22H29O11N1",1.32,0.5
"C26H32O5N2P1",1.23,0.19
"C28H36O3S1P1",1.29,0.11
"C21H40O8S1P1",1.9,0.38
"C12H4O7S7",0.33,0.58
"C13H8O2S9",0.62,0.15
"C14H3O11N3S2P1",0.21,0.79
"C20H8O1N2S6",0.4,0.05
"C13H10O12S2P2",0.77,0.92
"C19H16O3S6",0.84,0.16
"C15H4O17N2",0.27,1.13
"C16H8O14N2S1",0.5,0.88
"C24H8O10N2",0.33,0.42
"C32H8O2N2S1",0.25,0.06
"C18H16O12N2S1",0.89,0.67
"C15H19O15N1P1",1.27,1
"C20H22O8S1P2",1.1,0.4
"C29H12O4N2S1",0.41,0.14
"C25H24O2S4",0.96,0.08
"C33H12O1N2S1",0.36,0.03
"C19H20O11N2S1",1.05,0.58
"C27H16O9",0.59,0.33
"C15H20O16N2",1.33,1.07
"C15H20O16N2",1.33,1.07
"C24H20O9S1",0.83,0.38
"C21H26O7S1P2",1.24,0.33
"C30H16O3N2S1",0.53,0.1
"C38H12O1",0.32,0.03
"C26H28O1S4",1.08,0.04
"C13H28O13N2S2",2.15,1
"C20H24O10N2S1",1.2,0.5
"C34H16O2N2",0.47,0.06
"C21H24O13",1.14,0.62
"C17H27O13N1P1",1.59,0.76
"C22H30O6S1P2",1.36,0.27
"C31H20O2N2S1",0.65,0.06
"C22H31O5N1S2P1",1.41,0.23
"C22H30O8P2",1.36,0.36
"C18H28O15",1.56,0.83
"C19H34O8S1P2",1.79,0.42
"C28H24O4N2S1",0.86,0.14
"C29H24O7",0.83,0.24
"C30H28O2S2",0.93,0.07
"C27H32O2S3",1.19,0.07
"C22H28O12",1.27,0.55
"C22H28O12",1.27,0.55
"C24H36O2S4",1.5,0.08
"C18H32O11N2S1",1.78,0.61
"C32H24O3N2",0.75,0.09
"C19H32O14",1.68,0.74
"C23H35O6N1S1P1",1.52,0.26
"C28H36O1S3",1.29,0.04
"C23H32O11",1.39,0.48
"C19H35O11N1P1",1.84,0.58
"C27H32O8",1.19,0.3
"C20H39O8N1S1P1",1.95,0.4
"C31H32O5",1.03,0.16
"C28H36O5S1",1.29,0.18
"C24H36O10",1.5,0.42
"C24H36O10",1.5,0.42
"C21H40O10S1",1.9,0.48
"C34H32O1N2",0.94,0.03
"C25H40O9",1.6,0.36
"C26H44O8",1.69,0.31
"C32H40O2N2",1.25,0.06
"C10H3O12N3S4",0.3,1.2
"C15H7O8N3S4",0.47,0.53
"C24H6O8S1P1",0.25,0.33
"C17H10O15P1",0.59,0.88
"C21H11O9N1S2",0.52,0.43
"C29H11O5N1S1",0.38,0.17
"C33H10O3P1",0.3,0.09
"C28H11O4N3S1",0.39,0.14
"C34H19O1N3",0.56,0.03
"C21H27O12N1",1.29,0.57
"C18H34O11N2P1",1.89,0.61
"C21H31O10N3",1.48,0.48
"C34H31O2N1",0.91,0.06
"C12H6O5S8",0.5,0.42
"C11H6O8N2S6",0.55,0.73
"C12H10O3N2S8",0.83,0.25
"C20H6O1S7",0.3,0.05
"C12H8O13S2P2",0.67,1.08
"C14H14O5S7",1,0.36
"C11H18O5S8",1.64,0.45
"C14H5O11N3S2P1",0.36,0.79
"C15H6O15N2S1",0.4,1
"C17H10O13S2",0.59,0.76
"C22H5O7N3S1P1",0.23,0.32
"C15H18O8S5",1.2,0.53
"C18H5O12N3P1",0.28,0.67
"C23H6O7N2S2",0.26,0.3
"C11H18O13S4",1.64,1.18
"C16H10O12N2S2",0.62,0.75
"C15H20O14P2",1.33,0.93
"C23H18O8S2",0.78,0.35
"C32H10O2N2S1",0.31,0.06
"C25H14O7N2S1",0.56,0.28
"C29H13O5N1P1",0.45,0.17
"C21H14O12N2",0.67,0.57
"C15H21O15N1P1",1.4,1
"C20H24O8S1P2",1.2,0.4
"C29H14O4N2S1",0.48,0.14
"C37H10O2",0.27,0.05
"C17H26O10S3",1.53,0.59
"C18H18O14N2",1,0.78
"C27H18O7S1",0.67,0.26
"C28H22O2S3",0.79,0.07
"C23H18O12",0.78,0.52
"C20H25O7N1S2P1",1.25,0.35
"C12H26O14N2S2",2.17,1.17
"C34H14O4",0.41,0.12
"C20H22O14",1.1,0.7
"C17H29O9N1S2P1",1.71,0.53
"C21H28O7S1P2",1.33,0.33
"C30H18O3N2S1",0.6,0.1
"C25H26O6S2",1.04,0.24
"C26H30O1S4",1.15,0.04
"C30H18O5N2",0.6,0.17
"C17H26O16",1.53,0.94
"C34H18O2N2",0.53,0.06
"C21H26O13",1.24,0.62
"C17H29O13N1P1",1.71,0.76
"C22H30O8S2",1.36,0.36
"C22H32O6S1P2",1.45,0.27
"C17H30O12N2S1",1.76,0.71
"C26H30O5S2",1.15,0.19
"C18H30O15",1.67,0.83
"C26H30O7S1",1.15,0.27
"C27H34O2S3",1.26,0.07
"C22H30O12",1.36,0.55
"C22H30O12",1.36,0.55
"C18H34O11N2S1",1.89,0.61
"C23H34O9S1",1.48,0.39
"C32H26O3N2",0.81,0.09
"C19H34O14",1.79,0.74
"C27H34O6S1",1.26,0.22
"C28H38O1S3",1.36,0.04
"C23H34O11",1.48,0.48
"C23H34O11",1.48,0.48
"C25H42O1S4",1.68,0.04
"C20H38O11S1",1.9,0.55
"C33H30O2N2",0.91,0.06
"C33H30O2N2",0.91,0.06
"C28H38O5S1",1.36,0.18
"C24H38O10",1.58,0.42
"C24H38O10",1.58,0.42
"C25H42O5S2",1.68,0.2
"C34H34O1N2",1,0.03
"C31H38O3N2",1.23,0.1
"C31H38O3N2",1.23,0.1
"C36H38O1",1.06,0.03
"C20H9O2N1S6",0.45,0.1
"C14H5O11N3S3",0.36,0.79
"C14H17O6N1S6",1.21,0.43
"C10H17O11N1S5",1.7,1.1
"C11H21O6N1S7",1.91,0.55
"C20H13O10N3S1",0.65,0.5
"C31H20O4P1",0.65,0.13
"C31H20O4P1",0.65,0.13
"C34H21O1N3",0.62,0.03
"C11H4O8S7",0.36,0.73
"C12H8O3S9",0.67,0.25
"C11H8O6N2S7",0.73,0.55
"C19H4O4S6",0.21,0.21
"C9H12O9S7",1.33,1
"C9H12O9S7",1.33,1
"C12H8O13S4",0.67,1.08
"C24H8O12",0.33,0.5
"C22H18O7S1P2",0.82,0.32
"C18H16O16",0.89,0.89
"C19H22O9S1P2",1.16,0.47
"C36H8O3",0.22,0.08
"C32H11O3N1P1",0.34,0.09
"C33H12O3S1",0.36,0.09
"C29H15O3N1S1P1",0.52,0.1
"C22H16O13",0.73,0.59
"C19H23O8N1S2P1",1.21,0.42
"C23H22O6S1P2",0.96,0.26
"C19H20O13S1",1.05,0.68
"C27H20O5S2",0.74,0.19
"C15H23O15N1P1",1.53,1
"C16H27O10N1S2P1",1.69,0.62
"C29H16O4N2S1",0.55,0.14
"C37H12O2",0.32,0.05
"C21H19O9N3P1",0.9,0.43
"C34H16O2S1",0.47,0.06
"C22H20O9N2S1",0.91,0.41
"C23H20O12",0.87,0.52
"C25H28O2S4",1.12,0.08
"C21H30O7S1P2",1.43,0.33
"C30H20O3N2S1",0.67,0.1
"C26H20O8N2",0.77,0.31
"C22H23O8N3P1",1.05,0.36
"C29H28O1S3",0.97,0.03
"C24H24O11",1,0.46
"C26H32O1S4",1.23,0.04
"C21H31O8N1S1P1",1.48,0.38
"C21H28O13",1.33,0.62
"C21H28O13",1.33,0.62
"C17H32O12N2S1",1.88,0.71
"C25H28O10",1.12,0.4
"C18H32O15",1.78,0.83
"C27H36O2S3",1.33,0.07
"C35H24O1N2",0.69,0.03
"C22H32O12",1.45,0.55
"C23H36O7S2",1.57,0.3
"C18H36O11N2S1",2,0.61
"C26H32O9",1.23,0.35
"C22H35O9N1P1",1.59,0.41
"C23H39O4N1S2P1",1.7,0.17
"C27H36O6S1",1.33,0.22
"C23H39O6N1S1P1",1.7,0.26
"C23H36O11",1.57,0.48
"C19H39O11N1P1",2.05,0.58
"C24H40O6S2",1.67,0.25
"C24H43O3N1S2P1",1.79,0.12
"C24H40O10",1.67,0.42
"C29H44O6",1.52,0.21
"C30H48O1S2",1.6,0.03
"C13H3O8N3S5",0.23,0.62
"C19H7O3N1S6",0.37,0.16
"C18H7O14N3",0.39,0.78
"C27H7O7N1S1",0.26,0.26
"C28H11O2N1S3",0.39,0.07
"C15H11O14N3S1",0.73,0.93
"C23H7O12N1",0.3,0.52
"C22H19O12N1",0.86,0.55
"C23H23O7N1S2",1,0.3
"C34H23O1N3",0.68,0.03
"C31H27O1N3S1",0.87,0.03
"C18H35O12N1S1",1.94,0.67
"C25H35O3N3S2",1.4,0.12
"C33H31O1N1S1",0.94,0.03
"C29H34O3N2P1",1.17,0.1
"C29H35O2N3S1",1.21,0.07
"C25H35O7N3",1.4,0.28
"C26H39O2N3S2",1.5,0.08
"C28H43O4N1S1",1.54,0.14
"C10H2O11S6",0.2,1.1
"C11H6O10S6",0.55,0.91
"C14H6O14N2S2",0.43,1
"C19H6O14S1",0.32,0.74
"C27H8O6P2",0.3,0.22
"C27H9O7N1P1",0.33,0.26
"C19H10O14N2",0.53,0.74
"C32H10O4S1",0.31,0.12
"C28H13O4N1S1P1",0.46,0.14
"C25H16O7P2",0.64,0.28
"C21H14O14",0.67,0.67
"C22H20O7S1P2",0.91,0.32
"C31H10O3N2S1",0.32,0.1
"C32H10O6",0.31,0.19
"C19H22O11S2",1.16,0.58
"C19H24O9S1P2",1.26,0.47
"C28H14O5N2S1",0.5,0.18
"C33H14O3S1",0.42,0.09
"C29H14O8",0.48,0.28
"C25H17O8N1P1",0.68,0.32
"C22H18O13",0.82,0.59
"C23H24O6S1P2",1.04,0.26
"C32H14O2N2S1",0.44,0.06
"C19H22O13S1",1.16,0.68
"C16H29O10N1S2P1",1.81,0.62
"C20H28O8S1P2",1.4,0.4
"C36H14O1N2",0.39,0.03
"C20H29O7N1S2P1",1.45,0.35
"C27H22O9",0.81,0.33
"C33H18O3N2",0.55,0.09
"C16H29O14N1P1",1.81,0.88
"C28H26O6S1",0.93,0.21
"C16H30O13N2S1",1.88,0.81
"C24H26O11",1.08,0.46
"C25H30O6S2",1.2,0.24
"C29H30O3S2",1.03,0.1
"C25H30O8S1",1.2,0.32
"C34H22O2N2",0.65,0.06
"C21H30O13",1.43,0.62
"C17H33O13N1P1",1.94,0.76
"C29H30O5S1",1.03,0.17
"C17H34O12N2S1",2,0.71
"C21H33O10N1P1",1.57,0.48
"C26H34O7S1",1.31,0.27
"C27H38O2S3",1.41,0.07
"C35H26O1N2",0.74,0.03
"C22H34O12",1.55,0.55
"C23H38O7S2",1.65,0.3
"C24H42O2S4",1.75,0.08
"C26H34O9",1.31,0.35
"C27H38O4S2",1.41,0.15
"C27H38O6S1",1.41,0.22
"C28H42O1S3",1.5,0.04
"C23H38O11",1.65,0.48
"C19H41O11N1P1",2.16,0.58
"C22H38O10N2",1.73,0.45
"C24H42O10",1.75,0.42
"C25H49O4N1S1P1",1.96,0.16
"C14H9O1N3S8",0.64,0.07
"C14H7O13N1S1P2",0.5,0.93
"C13H5O14N3S2",0.38,1.08
"C22H9O1N3S5",0.41,0.05
"C21H5O10N3S1",0.24,0.48
"C22H9O5N3S3",0.41,0.23
"C26H8O3N2S2P1",0.31,0.12
"C17H5O15N3",0.29,0.88
"C18H9O10N3S2",0.5,0.56
"C18H9O12N3S1",0.5,0.67
"C22H8O10N2P1",0.36,0.45
"C27H9O5N1S2",0.33,0.19
"C31H8O3S1P1",0.26,0.1
"C15H13O12N3S2",0.87,0.8
"C21H17O9N1S2",0.81,0.43
"C26H21O7N1S1",0.81,0.27
"C23H25O11N1",1.09,0.48
"C15H29O15N3",1.93,1
"C24H29O8N1S1",1.21,0.33
"C25H37O3N3S2",1.48,0.12
"C33H33O1N1S1",1,0.03
"C21H37O10N3",1.76,0.48
"C21H37O10N3",1.76,0.48
"C26H37O8N1",1.42,0.31
"C23H41O8N1S1",1.78,0.35
"C12H12O9S6",1,0.75
"C17H16O5S6",0.94,0.29
"C14H8O14N2S2",0.57,1
"C22H8O8N2S2",0.36,0.36
"C30H7O5N1P1",0.23,0.17
"C23H12O7N2S2",0.52,0.3
"C31H8O5S1",0.26,0.16
"C28H12O7S1",0.43,0.25
"C20H18O7N2S1P2",0.9,0.35
"C24H12O12",0.5,0.5
"C25H16O7S2",0.64,0.28
"C14H22O15P2",1.57,1.07
"C21H16O14",0.76,0.67
"C17H19O14N1P1",1.12,0.82
"C22H22O7S1P2",1,0.32
"C31H12O3N2S1",0.39,0.1
"C18H20O14S1",1.11,0.78
"C18H20O14S1",1.11,0.78
"C19H26O9S1P2",1.37,0.47
"C35H12O2N2",0.34,0.06
"C22H20O13",0.91,0.59
"C18H23O13N1P1",1.28,0.72
"C23H26O6S1P2",1.13,0.26
"C32H16O2N2S1",0.5,0.06
"C19H24O13S1",1.26,0.68
"C19H26O11P2",1.37,0.58
"C15H24O18",1.6,1.2
"C15H24O18",1.6,1.2
"C16H28O13S2",1.75,0.81
"C27H24O7S1",0.89,0.26
"C23H24O12",1.04,0.52
"C23H24O12",1.04,0.52
"C24H28O7S2",1.17,0.29
"C20H31O7N1S2P1",1.55,0.35
"C33H20O1N2S1",0.61,0.03
"C23H27O9N1P1",1.17,0.39
"C33H20O3N2",0.61,0.09
"C20H28O14",1.4,0.7
"C28H28O6S1",1,0.21
"C29H32O1S3",1.1,0.03
"C24H28O11",1.17,0.46
"C24H31O8N1P1",1.29,0.33
"C29H32O3S2",1.1,0.1
"C16H32O15N2",2,0.94
"C25H32O8S1",1.28,0.32
"C34H24O2N2",0.71,0.06
"C21H32O13",1.52,0.62
"C22H36O8S2",1.64,0.36
"C29H32O5S1",1.1,0.17
"C25H32O10",1.28,0.4
"C21H35O10N1P1",1.67,0.48
"C22H39O5N1S2P1",1.77,0.23
"C29H32O7",1.1,0.24
"C22H39O7N1S1P1",1.77,0.32
"C27H40O2S3",1.48,0.07
"C35H28O1N2",0.8,0.03
"C22H36O12",1.64,0.55
"C18H39O12N1P1",2.17,0.67
"C27H40O6S1",1.48,0.22
"C23H40O11",1.74,0.48
"C24H47O3N1S2P1",1.96,0.12
"C24H15O7N1S2",0.62,0.29
"C16H21O7N3S2P2",1.31,0.44
"C28H14O5S1P1",0.5,0.18
"C24H19O1N3S4",0.79,0.04
"C23H27O9N1S1",1.17,0.39
"C23H27O11N1",1.17,0.48
"C23H27O11N1",1.17,0.48
"C21H34O9S1P1",1.62,0.43
"C28H31O5N1S1",1.11,0.18
"C16H35O12N3S1",2.19,0.75
"C24H31O10N1",1.29,0.42
"C20H35O9N3S1",1.75,0.45
"C28H34O4N2P1",1.21,0.14
"C20H35O11N3",1.75,0.55
"C20H35O11N3",1.75,0.55
"C25H39O3N3S2",1.56,0.12
"C33H35O1N1S1",1.06,0.03
"C21H39O8N3S1",1.86,0.38
"C25H38O6N2P1",1.52,0.24
"C17H6O2N2S7",0.35,0.12
"C20H4O6N2S2P2",0.2,0.3
"C18H8O9S2P2",0.44,0.5
"C18H10O15N2",0.56,0.83
"C23H10O13",0.43,0.57
"C23H10O13",0.43,0.57
"C13H21O13N1S2P1",1.62,1
"C27H10O10",0.37,0.37
"C27H10O10",0.37,0.37
"C15H14O17N2",0.93,1.13
"C16H17O15N1P1",1.06,0.94
"C21H20O8S1P2",0.95,0.38
"C32H14O2S2",0.44,0.06
"C28H14O7S1",0.5,0.25
"C29H18O2S3",0.62,0.07
"C24H14O12",0.58,0.5
"C21H18O14",0.86,0.67
"C22H22O9S2",1,0.41
"C22H24O7S1P2",1.09,0.32
"C18H22O14S1",1.22,0.78
"C27H26O1S4",0.96,0.04
"C19H28O9S1P2",1.47,0.47
"C28H18O5N2S1",0.64,0.18
"C26H24O6P2",0.92,0.23
"C22H22O13",1,0.59
"C19H29O8N1S2P1",1.53,0.42
"C32H18O2N2S1",0.56,0.06
"C32H18O2N2S1",0.56,0.06
"C26H22O10",0.85,0.38
"C27H26O5S2",0.96,0.19
"C19H26O15",1.37,0.79
"C23H26O12",1.13,0.52
"C23H26O12",1.13,0.52
"C33H22O1N2S1",0.67,0.03
"C23H29O9N1P1",1.26,0.39
"C33H22O3N2",0.67,0.09
"C29H34O1S3",1.17,0.03
"C24H30O11",1.25,0.46
"C20H33O11N1P1",1.65,0.55
"C34H26O2N2",0.76,0.06
"C21H34O13",1.62,0.62
"C22H38O8S2",1.73,0.36
"C29H34O5S1",1.17,0.17
"C25H34O10",1.36,0.4
"C25H34O10",1.36,0.4
